hole_card1,hole_card2,win_probability
9♠,9♥,0.3715
9♠,9♦,0.372
9♠,9♣,0.378
9♠,T♠,0.3295
9♠,T♥,0.2875
9♠,T♦,0.313
9♠,T♣,0.302
9♠,J♠,0.354
9♠,J♥,0.3595
9♠,J♦,0.309
9♠,J♣,0.341
9♠,Q♠,0.394
9♠,Q♥,0.3915
9♠,Q♦,0.3935
9♠,Q♣,0.3965
9♠,K♠,0.466
9♠,K♥,0.4605
9♠,K♦,0.466
9♠,K♣,0.4715
9♠,A♠,0.5015
9♠,A♥,0.454
9♠,A♦,0.475
9♠,A♣,0.4715
9♥,9♦,0.364
9♥,9♣,0.3875
9♥,T♠,0.266
9♥,T♥,0.3315
9♥,T♦,0.2795
9♥,T♣,0.328
9♥,J♠,0.341
9♥,J♥,0.3515
9♥,J♦,0.3505
9♥,J♣,0.3175
9♥,Q♠,0.3815
9♥,Q♥,0.428
9♥,Q♦,0.3915
9♥,Q♣,0.365
9♥,K♠,0.463
9♥,K♥,0.453
9♥,K♦,0.473
9♥,K♣,0.4625
9♥,A♠,0.4725
9♥,A♥,0.508
9♥,A♦,0.4825
9♥,A♣,0.4555
9♦,9♣,0.406
9♦,T♠,0.3
9♦,T♥,0.324
9♦,T♦,0.3335
9♦,T♣,0.2905
9♦,J♠,0.371
9♦,J♥,0.3435
9♦,J♦,0.3365
9♦,J♣,0.348
9♦,Q♠,0.386
9♦,Q♥,0.3605
9♦,Q♦,0.3775
9♦,Q♣,0.4205
9♦,K♠,0.4475
9♦,K♥,0.457
9♦,K♦,0.4525
9♦,K♣,0.462
9♦,A♠,0.4825
9♦,A♥,0.4675
9♦,A♦,0.48
9♦,A♣,0.488
9♣,T♠,0.324
9♣,T♥,0.321
9♣,T♦,0.31
9♣,T♣,0.3095
9♣,J♠,0.34
9♣,J♥,0.344
9♣,J♦,0.3455
9♣,J♣,0.327
9♣,Q♠,0.4145
9♣,Q♥,0.406
9♣,Q♦,0.403
9♣,Q♣,0.375
9♣,K♠,0.4275
9♣,K♥,0.4535
9♣,K♦,0.443
9♣,K♣,0.4525
9♣,A♠,0.461
9♣,A♥,0.4705
9♣,A♦,0.4685
9♣,A♣,0.504
T♠,T♥,0.4575
T♠,T♦,0.433
T♠,T♣,0.468
T♠,J♠,0.4365
T♠,J♥,0.4295
T♠,J♦,0.428
T♠,J♣,0.409
T♠,Q♠,0.467
T♠,Q♥,0.481
T♠,Q♦,0.48
T♠,Q♣,0.461
T♠,K♠,0.559
T♠,K♥,0.5365
T♠,K♦,0.5165
T♠,K♣,0.521
T♠,A♠,0.553
T♠,A♥,0.553
T♠,A♦,0.5405
T♠,A♣,0.5645
T♥,T♦,0.457
T♥,T♣,0.4625
T♥,J♠,0.405
T♥,J♥,0.4265
T♥,J♦,0.4155
T♥,J♣,0.4285
T♥,Q♠,0.442
T♥,Q♥,0.453
T♥,Q♦,0.447
T♥,Q♣,0.455
T♥,K♠,0.53
T♥,K♥,0.54
T♥,K♦,0.534
T♥,K♣,0.531
T♥,A♠,0.5655
T♥,A♥,0.5425
T♥,A♦,0.548
T♥,A♣,0.557
T♦,T♣,0.4785
T♦,J♠,0.418
T♦,J♥,0.4135
T♦,J♦,0.4185
T♦,J♣,0.4
T♦,Q♠,0.474
T♦,Q♥,0.453
T♦,Q♦,0.476
T♦,Q♣,0.4665
T♦,K♠,0.539
T♦,K♥,0.537
T♦,K♦,0.518
T♦,K♣,0.534
T♦,A♠,0.527
T♦,A♥,0.5535
T♦,A♦,0.5895
T♦,A♣,0.5705
T♣,J♠,0.4045
T♣,J♥,0.4175
T♣,J♦,0.4475
T♣,J♣,0.4305
T♣,Q♠,0.4655
T♣,Q♥,0.4745
T♣,Q♦,0.4595
T♣,Q♣,0.4625
T♣,K♠,0.55
T♣,K♥,0.5095
T♣,K♦,0.5345
T♣,K♣,0.54
T♣,A♠,0.542
T♣,A♥,0.5415
T♣,A♦,0.554
T♣,A♣,0.5535
J♠,J♥,0.5215
J♠,J♦,0.4905
J♠,J♣,0.478
J♠,Q♠,0.4915
J♠,Q♥,0.4935
J♠,Q♦,0.492
J♠,Q♣,0.4625
J♠,K♠,0.5595
J♠,K♥,0.5325
J♠,K♦,0.547
J♠,K♣,0.5515
J♠,A♠,0.565
J♠,A♥,0.57
J♠,A♦,0.583
J♠,A♣,0.5475
J♥,J♦,0.4755
J♥,J♣,0.51
J♥,Q♠,0.498
J♥,Q♥,0.4765
J♥,Q♦,0.521
J♥,Q♣,0.5035
J♥,K♠,0.563
J♥,K♥,0.5415
J♥,K♦,0.535
J♥,K♣,0.5545
J♥,A♠,0.589
J♥,A♥,0.588
J♥,A♦,0.59
J♥,A♣,0.574
J♦,J♣,0.51
J♦,Q♠,0.5045
J♦,Q♥,0.5205
J♦,Q♦,0.4915
J♦,Q♣,0.506
J♦,K♠,0.5715
J♦,K♥,0.5705
J♦,K♦,0.5615
J♦,K♣,0.5255
J♦,A♠,0.585
J♦,A♥,0.584
J♦,A♦,0.5875
J♦,A♣,0.5735
J♣,Q♠,0.488
J♣,Q♥,0.4925
J♣,Q♦,0.486
J♣,Q♣,0.5085
J♣,K♠,0.5665
J♣,K♥,0.576
J♣,K♦,0.541
J♣,K♣,0.552
J♣,A♠,0.6055
J♣,A♥,0.5895
J♣,A♦,0.5665
J♣,A♣,0.594
Q♠,Q♥,0.569
Q♠,Q♦,0.547
Q♠,Q♣,0.5995
Q♠,K♠,0.591
Q♠,K♥,0.579
Q♠,K♦,0.5745
Q♠,K♣,0.5625
Q♠,A♠,0.594
Q♠,A♥,0.6105
Q♠,A♦,0.6095
Q♠,A♣,0.6055
Q♥,Q♦,0.5575
Q♥,Q♣,0.5765
Q♥,K♠,0.584
Q♥,K♥,0.569
Q♥,K♦,0.569
Q♥,K♣,0.569
Q♥,A♠,0.6
Q♥,A♥,0.616
Q♥,A♦,0.6175
Q♥,A♣,0.612
Q♦,Q♣,0.5725
Q♦,K♠,0.5845
Q♦,K♥,0.578
Q♦,K♦,0.586
Q♦,K♣,0.5735
Q♦,A♠,0.61
Q♦,A♥,0.564
Q♦,A♦,0.6135
Q♦,A♣,0.613
Q♣,K♠,0.5635
Q♣,K♥,0.6
Q♣,K♦,0.5745
Q♣,K♣,0.5965
Q♣,A♠,0.604
Q♣,A♥,0.597
Q♣,A♦,0.5975
Q♣,A♣,0.6355
K♠,K♥,0.6945
K♠,K♦,0.6585
K♠,K♣,0.681
K♠,A♠,0.626
K♠,A♥,0.6375
K♠,A♦,0.631
K♠,A♣,0.6465
K♥,K♦,0.6895
K♥,K♣,0.6585
K♥,A♠,0.617
K♥,A♥,0.6385
K♥,A♦,0.607
K♥,A♣,0.6525
K♦,K♣,0.6595
K♦,A♠,0.62
K♦,A♥,0.62
K♦,A♦,0.6405
K♦,A♣,0.633
K♣,A♠,0.634
K♣,A♥,0.602
K♣,A♦,0.623
K♣,A♣,0.61
A♠,A♥,0.6845
A♠,A♦,0.681
A♠,A♣,0.6655
A♥,A♦,0.69
A♥,A♣,0.6995
A♦,A♣,0.703
